REFCODE,W sigma,W sigma_11,W sigma_22,W sigma_33,P sigma,P sigma_11,P sigma_22,P sigma_33,W Distortion zeta,W Distortion delta,W Distortion sigma,W Distortion theta,C1-W-C2 angle,C1-W dist,C1-O dist,W-C1-O angle,C1 sigma,C1 sigma_11,C1 sigma_22,C1 sigma_33,C2-W dist,C2-O dist,W-C2-O angle,C2 sigma,C2 sigma_11,C2 sigma_22,C2 sigma_33,C3-W-C4 angle,C3-W dist,C3-O dist,W-C3-O angle,C3 sigma,C3 sigma_11,C3 sigma_22,C3 sigma_33,C4-W dist,C4-O dist,W-C4-O angle,C4 sigma,C4 sigma_11,C4 sigma_22,C4 sigma_33,C5-W-P angle,C5-W dist,C5-O dist,W-C5-O angle,C5 sigma,C5 sigma_11,C5 sigma_22,C5 sigma_33,P Distortion zeta,P Distortion delta,P Distortion sigma,P bonds,P-W dist,?1 atomic number,?1 bonds,W-P-?1 angle,P-?1 dist,?2 atomic number,?2 bonds,W-P-?2 angle,P-?2 dist,?3 atomic number,?3 bonds,W-P-?3 angle,P-?3 dist
LEKFAJ_#[20],3697.22,3638.2,3676.58,3777.97,290.38,112.42,298.87,459.98,0.6942792208121813,0.0054528023652671,16.28914694983139,70.31200333674919,176.46552402915697,2.041176469588065,1.1307593643211622,175.0562382327835,-26.92,-167.65,-174.45,260.31,2.029372811979112,1.1505958717116975,175.3240974304962,-33.25,-177.63,-179.96,257.91,178.45222315528224,2.0334799458071866,1.1552182218091942,177.2262315070126,-35.66,-180.17,-183.06,256.19,2.0558260480887003,1.118378495859073,177.30626380257138,-25.32,-164.73,-167.77,256.54,177.47746525292703,2.02562215627693,1.1186668896503558,178.79779653392944,-29.89,-162.84,-167.76,240.93,1.4473039074117888,0.0295578531952917,195.7456460392068,4,2.453663018835308,74,8,137.7631825123463,2.480895324273074,6,4,131.57433681064964,1.7377535325816509,6,4,140.36122482994946,1.7495009031149422
LESNON_#[2],3565.39,3475.5,3547.55,3673.12,12.68,-285.86,144.1,179.8,0.728182585069705,0.0059900568750748,21.602290865541875,92.0587790330282,177.29983808075562,2.048209239799489,1.127070268439374,178.014212391585,-27.9,-165.76,-173.31,255.36,2.05243962395974,1.1165557039395757,177.5051102174044,-24.8,-164.6,-169.62,259.83,175.9069126280865,2.0312445913774138,1.1476848609265538,177.4296594938583,-34.67,-175.75,-182.31,254.05,2.033224436701468,1.144595557391343,178.0107601704581,-33.58,-175.75,-182.28,257.31,176.07882208536589,2.016851142251207,1.1275684014728342,178.84126060235474,-36.0,-170.97,-175.14,238.09,0.8857593971375999,0.0160540069178633,64.13395782129285,4,2.473303357859686,6,3,112.21396475942532,1.8366834811692525,6,4,123.41605377147812,1.902292942740419,6,4,122.55846266232874,1.9094148553941863
LESNUT_#[8],3615.47,3506.16,3577.2,3763.04,44.38,-172.06,150.8,154.42,0.7346782754989167,0.0061126351342313,17.86968826662364,81.54825668851403,176.61630983812023,2.0351170826269427,1.1387169182900552,178.5959898892217,-32.56,-173.47,-176.16,251.94,2.0452666280952223,1.1307331515437231,179.3351196827076,-29.64,-170.15,-175.47,256.72,177.6371310279959,2.047514131819363,1.1355561236680467,176.99198409541933,-32.13,-170.55,-180.43,254.59,2.031018961014397,1.1479300544893838,178.2203803990457,-34.77,-175.6,-182.95,254.24,176.46918376143284,2.0095169494184413,1.1399936227891805,179.30713753391225,-39.86,-177.31,-178.88,236.61,0.9326722348222588,0.0181166985110357,67.54758008953715,4,2.474493715894224,6,4,122.89755731293904,1.8666745752808656,6,4,124.67698405941428,1.877235272947959,6,3,112.17338792252202,1.8142268298093265
LESPEF_#[4],3603.17,3421.59,3603.9,3784.0,289.42,228.23,253.46,386.57,0.8005100307673332,0.0072359411979628,23.07341777027601,102.91111745326548,177.2650672769412,2.039465643250702,1.1304801546245735,179.31811467049928,-30.92,-171.7,-177.03,255.96,2.035214182831871,1.137125314114499,178.29283476449135,-30.32,-172.15,-175.88,257.06,175.12745885723854,2.046170349702097,1.1309073746333065,177.46296574656233,-28.7,-170.63,-174.7,259.24,2.0451121460692567,1.1312697512087906,176.07830194039025,-30.69,-169.97,-176.45,254.35,175.19640546284748,1.9982302670112868,1.1444594575606422,178.97188146719608,-39.87,-177.4,-180.33,238.12,1.0456588432878795,0.0231043883572538,47.95842917134772,4,2.513144536233442,6,3,120.0961613933941,1.8083928389595,6,3,116.00710083573232,1.7920810723848402,6,3,114.8940462521689,1.847642010780227
LIHFAJ_#[4],3503.03,3166.61,3488.8,3853.66,255.29,204.33,216.47,345.06,1.0203334658999454,0.0085926142460016,44.83919244813892,137.80332645634448,179.72803399438476,1.9810886754509505,1.155530860686983,165.7032730966969,-33.13,-177.78,-181.27,259.65,2.0276567239057006,1.1475117777173358,171.01302804639118,-34.85,-175.41,-181.28,252.14,178.79314733212547,2.003411872281883,1.168502023960592,176.27281179751492,-36.91,-181.56,-186.24,257.06,2.0042084871589583,1.126440331309209,175.5730449350542,-27.27,-166.61,-172.54,257.35,175.4808779547516,2.248922606494052,1.001808035503808,174.92003825402276,3.02,-127.32,-129.56,265.95,1.2645128068452978,0.044547215490371,45.34282586092532,4,2.5245103723296527,6,3,114.9760843965938,1.8385694656444167,6,3,120.90509541447308,1.787392259690077,1,1,113.60935952471957,1.4185437779638674
LIHFAJ01_#[4],3778.55,3635.19,3798.49,3901.97,272.45,227.35,246.32,343.68,0.8397191761888174,0.0082260210993572,13.824170918321528,78.64370786885274,179.79654438175993,1.985305087385816,1.1814580017927,177.4118647542864,-44.02,-188.92,-195.85,252.7,1.9958306491283264,1.1699867947972755,178.28536100319454,-38.17,-185.57,-188.95,260.0,179.04654264267631,2.0335201252999693,1.1431754021146538,178.72266529890047,-33.58,-175.51,-181.01,255.79,2.0360735595748984,1.1386605376493912,178.69433663238115,-30.5,-172.3,-177.34,258.16,176.0290681958282,1.968254549086576,1.1690861815965494,179.4818458828667,-44.53,-183.96,-187.71,238.07,1.2364440496659077,0.0430747094520318,48.22130736070923,4,2.5076282998084074,6,3,121.25971442799629,1.817375390501368,6,3,115.43049812484544,1.814468156237523,1,1,114.19335190913505,1.4181532533545165
LIKZIR_#[4],3475.93,3336.69,3451.16,3639.93,236.51,194.11,211.86,303.55,0.8508321179803777,0.0081093601802221,28.87716159708178,115.14731152446709,174.75894265790126,2.039930775786277,1.1444349610178803,176.7266666615087,-33.74,-174.65,-178.41,251.85,2.040708538718844,1.137578261044048,176.75905941601323,-32.17,-172.12,-178.94,254.54,173.83438453276247,2.051224370955064,1.1387595224629297,177.02006465507057,-29.89,-171.19,-176.19,257.7,2.049784191079637,1.145530169834039,172.90556036403325,-37.5,-178.23,-183.14,248.88,177.89803605709807,1.9996292381339105,1.143681677740795,177.40843746596988,-40.17,-177.26,-179.19,235.95,1.0545707560048052,0.0228203460317134,30.748382789710973,4,2.546754693722974,6,4,114.3606783559862,1.875971260440844,6,3,107.87917150536076,1.828270343794921,6,3,119.34999081919123,1.826880964923548
LOFLOI_#[4],3577.64,3375.97,3564.41,3792.54,365.87,181.13,275.62,640.87,0.7648634375227652,0.0065834383533709,17.209060370679126,79.21635907270017,178.56427244166662,2.041356989847684,1.1370746413494586,177.15457623721375,-30.82,-171.93,-176.62,256.09,2.047859045442337,1.1367182016665347,177.3009148340022,-30.17,-170.51,-177.22,257.21,178.04784385276648,2.051147261900032,1.1398995920694066,177.11074671250637,-32.75,-172.96,-179.38,254.09,2.0455626634253963,1.139212943220011,178.21761644217443,-32.97,-173.59,-180.18,254.87,178.47166067122004,2.00799658864252,1.1443596287880835,178.19586854038056,-36.76,-174.92,-177.8,242.43,1.1102855722002656,0.0199071857872477,94.85775010078072,4,2.497702572365253,15,3,123.7177880222066,2.2260642510942943,6,4,119.77238574660387,1.8274584126595057,6,3,123.4139169844322,1.7860228385997758
LOFLUO_#[2],3611.01,3419.29,3611.04,3802.7,365.68,202.4,243.11,651.52,0.7820218660628901,0.0068964819255236,26.966761555174514,103.3644919016172,174.14953814032734,2.042120569408183,1.139368180177064,177.0827575380782,-33.79,-174.81,-179.61,253.04,2.0458830905015075,1.1349073838864572,175.86710184432908,-27.81,-168.49,-175.19,260.26,174.46543096762997,2.044383853389573,1.137434187107106,177.7587001965018,-31.76,-173.53,-177.39,255.66,2.045807569152094,1.1402498366586151,178.10197318155642,-33.67,-174.35,-180.16,253.51,175.8020747230664,2.001620456030562,1.1441750390565253,177.72151792170615,-37.25,-173.71,-179.02,240.99,1.1433581027442328,0.0208005674125479,95.16344856564466,4,2.5051762273341174,15,3,120.49801010814532,2.239960526437912,6,3,120.8588867046198,1.788390435559305,6,3,123.7743427989171,1.8133882154684915
LOLQIQ_#[4],3490.36,3289.18,3500.02,3681.89,99.37,-193.12,430.53,60.71,0.7345980406336352,0.0061164374827512,28.256898578186764,107.9969525323532,175.76564344516714,2.040029396847016,1.1369839488752689,177.5852855805391,-31.36,-173.37,-175.8,255.08,2.047262643140836,1.1311172927685262,177.84028595922993,-29.62,-171.26,-173.72,256.1,176.34211241912433,2.042264573947264,1.1349469987624972,176.69934797048103,-31.81,-170.24,-174.21,249.03,2.0475588709485257,1.1395827569773065,177.8015998429246,-29.62,-172.51,-174.28,257.93,172.81307540314492,2.002890234136659,1.1422445403677794,177.57461850587583,-40.27,-173.57,-180.34,233.1,0.784941722545055,0.0213300107109784,52.45528510391093,3,2.4767599681842407,15,3,126.60656234402296,2.1448646996955305,6,3,128.00883926847666,1.722106042031094,0,0,0.0,0.0
